featuredisplay,dist20,dist298,store,logseason,dist239,dist231,dist294,displayonly,dist305,id,dist322,dist230,logregprice,dist278,dist242,dist246,dist265,dist12,logvolume,dist237,dist282,dist236,logpriceindex,dist235,dist327,featureonly,lift265
0.0,0.0,0.0,59260.0,-0.01921897,0.0,0.0,0.0,0.0,0.0,1314259992576.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.24520731,0.0,0.0,0.0,0.17412432,0.0,0.0,0.0,0.0
0.0,0.0,0.0,59260.0,0.03098886,0.0,0.0,0.0,0.0,0.0,1314259992577.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,-0.44793987,0.0,0.0,0.0,-0.52237295,0.0,0.0,0.0,0.0
0.0,0.0,0.0,59260.0,-0.03046696,0.0,0.0,0.0,0.0,0.0,1314259992578.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.65067242,0.0,0.0,0.0,0.17412432,0.0,0.0,0.0,0.0
0.0,0.0,0.0,59260.0,0.01869707,0.0,0.0,0.0,0.0,0.0,1314259992579.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,-0.44793987,0.0,0.0,0.0,0.17412432,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37376.0,-0.00065516,0.0,0.0,0.0,0.0,0.0,1314259992580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2299197,0.0,0.0,0.0,0.01848127,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37376.0,0.04114757,0.0,0.0,0.0,0.0,0.0,1314259992581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2299197,0.0,0.0,0.0,0.16766916,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37376.0,-0.05052361,0.0,0.0,0.0,0.0,0.0,1314259992582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2299197,0.0,0.0,0.0,-0.34457894,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37376.0,-0.01302347,0.0,0.0,0.0,0.0,0.0,1314259992583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2299197,0.0,0.0,0.0,0.16766916,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37376.0,0.04173217,0.0,0.0,0.0,0.0,0.0,1314259992584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2299197,0.0,0.0,0.0,0.16766916,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37376.0,-0.0490222,0.0,0.0,0.0,0.0,0.0,1314259992585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37951821,0.0,0.0,0.0,-0.34457894,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37376.0,0.03034469,0.0,0.0,0.0,0.0,0.0,1314259992586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2299197,0.0,0.0,0.0,0.16766916,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,-0.03233324,0.0,0.0,0.0,0.0,0.0,1314259992587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55992483,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,-0.04846838,0.0,0.0,0.0,0.0,0.0,1314259992588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53868745,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,-0.00203246,0.0,0.0,0.0,0.0,0.0,1314259992589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23183464,0.0,0.0,0.0,-0.45075412,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,0.10565668,0.0,0.0,0.0,0.0,0.0,1314259992590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55992483,0.0,0.0,0.0,-0.43389032,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,-0.06145661,0.0,0.0,0.0,0.0,0.0,1314259992591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13322235,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,0.01273732,0.0,0.0,0.0,0.0,0.0,1314259992592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55992483,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,0.01273732,0.0,0.0,0.0,0.0,0.0,1314259992593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13322235,0.0,0.0,0.0,-0.027311,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,-0.05015916,0.0,0.0,0.0,0.0,0.0,1314259992594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53868745,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,0.11271319,0.0,0.0,0.0,0.0,0.0,1314259992595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55992483,0.0,0.0,0.0,-0.027311,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,-0.00245409,0.0,0.0,0.0,0.0,0.0,1314259992596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55992483,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,0.01273732,0.0,0.0,0.0,0.0,0.0,1314259992597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55992483,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,-0.04530514,0.0,0.0,0.0,0.0,0.0,1314259992598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13322235,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,0.00395434,0.0,0.0,0.0,0.0,0.0,1314259992599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53868745,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,-0.03916601,0.0,0.0,0.0,0.0,0.0,1314259992600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55992483,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,0.01273732,0.0,0.0,0.0,0.0,0.0,1314259992601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13322235,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92214.0,0.00810157,0.0,0.0,0.0,0.0,0.0,1314259992602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53868745,0.0,0.0,0.0,0.0782722,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,0.09017421,0.0,0.0,0.0,0.0,0.0,1314259992603.0,0.0,0.0,-0.04826539,0.0,0.1,0.0,0.0,0.0,-0.27725887,0.0,0.0,0.0,-0.25419495,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,-0.01448595,0.0,0.0,0.0,0.0,0.0,1314259992604.0,0.0,0.0,-0.04826539,0.0,0.1,0.0,0.0,0.0,-0.27725887,0.0,0.0,0.0,0.12429357,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,-0.00652666,0.0,0.0,0.0,0.0,0.0,1314259992605.0,0.0,0.0,0.08559147,0.0,0.1,0.0,0.0,0.0,-0.27725887,0.0,0.0,0.0,0.12429357,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,-0.05554705,0.0,0.0,0.0,0.0,0.0,1314259992606.0,0.0,0.0,-0.04826539,0.0,0.1,0.0,0.0,0.0,-0.27725887,0.0,0.0,0.0,0.12429357,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,0.02726001,0.0,0.0,0.0,0.0,0.0,1314259992607.0,0.0,0.0,-0.07465215,0.0,-0.9,0.0,0.0,0.0,1.10903549,0.0,0.0,0.0,-0.2278082,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,-0.01115609,0.0,0.0,0.0,0.0,0.0,1314259992608.0,0.0,0.0,0.08559147,0.0,0.1,0.0,0.0,0.0,-0.27725887,0.0,0.0,0.0,0.12429357,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,-0.02057799,0.0,0.0,0.0,0.0,0.0,1314259992609.0,0.0,0.0,0.08559147,0.0,0.1,0.0,0.0,0.0,-0.27725887,0.0,0.0,0.0,0.12429357,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,0.03284322,0.0,0.0,0.0,0.0,0.0,1314259992610.0,0.0,0.0,-0.07465215,0.0,0.1,0.0,0.0,0.0,1.10903549,0.0,0.0,0.0,-0.2278082,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,0.01082547,0.0,0.0,0.0,0.0,0.0,1314259992611.0,0.0,0.0,-0.04826539,0.0,0.1,0.0,0.0,0.0,-0.27725887,0.0,0.0,0.0,0.12429357,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37690.0,-0.05280917,0.0,0.0,0.0,0.0,0.0,1314259992612.0,0.0,0.0,0.08559147,0.0,0.1,0.0,0.0,0.0,-0.27725887,0.0,0.0,0.0,-0.03595005,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,-0.03692841,0.0,0.0,0.0,0.0,0.0,1314259992613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35110371,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,0.00483654,0.0,0.0,0.0,0.0,0.0,1314259992614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35110371,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,0.07915202,0.0,0.0,0.0,0.0,0.0,1314259992615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34204347,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,0.00975362,0.0,0.0,0.0,0.0,0.0,1314259992616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35110371,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,-0.03956902,0.0,0.0,0.0,0.0,0.0,1314259992617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35110371,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,-0.04250044,0.0,0.0,0.0,0.0,0.0,1314259992618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35110371,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,-0.01487403,0.0,0.0,0.0,0.0,0.0,1314259992619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34204347,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,-0.02635658,0.0,0.0,0.0,0.0,0.0,1314259992620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35110371,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,-0.00702381,0.0,0.0,0.0,0.0,0.0,1314259992621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34204347,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,-0.04290868,0.0,0.0,0.0,0.0,0.0,1314259992622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35110371,0.0,0.0,0.0,0.08952974,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,0.00975362,0.0,0.0,0.0,0.0,0.0,1314259992623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74750858,0.0,0.0,0.0,-0.42263278,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,-0.01925439,0.0,0.0,0.0,0.0,0.0,1314259992624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35110371,0.0,0.0,0.0,-0.05003182,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92209.0,0.12591956,0.0,0.0,0.0,0.0,0.0,1314259992625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03519065,0.0,0.0,0.0,-0.42263278,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92210.0,-0.05208645,0.0,0.0,0.0,0.0,0.0,1314259992626.0,0.0,0.0,0.10370573,0.0,0.0,0.0,0.0,0.0,0.83012122,0.0,0.0,0.0,-0.08104507,0.0,0.0,0.0,0.0
0.0,0.0,0.0,92210.0,0.0044835,0.0,0.0,0.0,0.0,0.0,1314259992627.0,0.0,0.0,0.10370573,0.0,0.0,0.0,0.0,0.0,-0.26849107,0.0,0.0,0.0,0.05851649,0.0,0.0,0.0,0.0
