y,x0,x1,x2,x3,x4,x6,x7
0,1,0.708381949,0.025366394,1,0,0,1
0,1,0.553622619,0.149165205,1,0,1,1
0,1,0.767326558,0.703955811,1,0,0,0
0,1,0.688214585,0.57130302,1,0,0,0
0,1,0.608326085,0.125445972,1,0,1,0
1,1,0.351907003,0.62068941,1,0,0,0
0,1,0.733567746,0.27909212,1,0,0,0
0,1,0.519789144,0.95789181,0,0,1,0
0,1,0.40468417,0.308356301,0,0,1,0
0,1,0.346014221,0.015319916,0,1,1,0
0,1,0.393868726,0.087208203,1,0,1,0
0,1,0.351720273,0.120902259,0,0,1,1
0,1,0.304386351,0.925255955,0,0,1,0
0,1,0.189204888,0.802202314,0,1,0,0
0,1,0.471783415,0.00279215,0,0,0,0
0,1,0.688157241,0.943006454,0,1,0,0
0,1,0.61933835,0.215292281,1,1,1,0
0,1,0.714550352,0.28515656,0,0,0,0
0,1,0.180944541,0.705202346,0,1,1,0
0,1,0.70069214,0.045090928,1,0,1,1
0,1,0.317494055,0.878529842,1,0,1,1
0,1,0.644423547,0.548952294,1,0,1,1
0,1,0.696062705,0.933398553,0,0,1,0
0,1,0.306195524,0.977054631,0,0,1,1
0,1,0.184476222,0.380835211,1,1,1,0
0,1,0.148496223,0.211924758,0,1,1,1
0,1,0.835085129,0.634566733,1,0,1,1
0,1,0.470862677,0.883727688,0,0,1,1
0,1,0.80647332,0.614518558,0,0,0,0
0,1,0.650330393,0.819641226,1,1,0,1
0,1,0.40706233,0.514453355,0,1,1,1
0,1,0.042616282,0.35090282,1,1,1,0
0,1,0.65380302,0.745392592,0,1,0,1
0,1,0.7046937,0.895223647,1,1,0,0
0,1,0.838392505,0.637837079,1,0,0,0
1,1,0.581483183,0.817446492,0,0,1,1
0,1,0.729072314,0.628021395,0,0,1,0
0,1,0.922234318,0.15580185,1,1,0,0
1,1,0.303185114,0.664687216,0,1,1,0
0,1,0.47014272,0.496827662,1,0,0,1
0,1,0.659870494,0.945106366,1,0,1,1
0,1,0.999711397,0.453140903,1,0,1,0
0,1,0.898779258,0.708185015,0,1,1,0
0,1,0.011523896,0.906886665,1,0,0,0
0,1,0.866074791,0.953504487,0,0,0,1
0,1,0.668498903,0.835848635,1,0,0,0
0,1,0.732186852,0.247607416,0,1,0,0
0,1,0.791062851,0.299317,0,0,1,0
0,1,0.738882019,0.116246677,1,1,0,1
0,1,0.253463363,0.287510652,0,0,1,0
0,1,0.225841842,0.501603497,0,1,0,0
0,1,0.681300364,0.810009929,0,0,1,0
0,1,0.831754086,0.790741905,0,1,0,1
1,1,0.502632319,0.729948843,0,1,1,1
0,1,0.94819842,0.214984198,1,1,0,1
0,1,0.682996806,0.058728715,0,0,0,1
0,1,0.80841094,0.010981459,1,1,1,1
0,1,0.726538626,0.14072135,0,0,0,0
0,1,0.7658503,0.126054345,0,0,0,0
0,1,0.421372265,0.120422437,1,0,0,0
0,1,0.612350312,0.149638843,0,0,1,1
0,1,0.598462503,0.065398062,0,0,1,0
0,1,0.178311273,0.243505233,1,0,0,0
0,1,0.387754139,0.442465959,1,1,1,0
0,1,0.314464537,0.52047261,1,0,0,1
0,1,0.710413196,0.127876404,1,0,0,0
0,1,0.134029862,0.622908877,1,1,0,1
0,1,0.126444622,0.269139684,1,0,1,1
0,1,0.849488636,0.547831051,0,1,1,0
0,1,0.197277832,0.193924054,0,1,0,0
0,1,0.056104291,0.912156589,1,1,0,0
0,1,0.298667467,0.447086728,0,1,0,0
0,1,0.62633926,0.927807968,0,0,1,0
0,1,0.804388091,0.57123625,0,0,1,1
0,1,0.631638701,0.189131735,0,1,0,0
0,1,0.743892292,0.247058535,0,1,0,0
0,1,0.869118136,0.103062364,1,0,0,1
0,1,0.420791495,0.030853936,1,1,1,1
0,1,0.00502312,0.08897617,1,1,1,1
0,1,0.651855644,0.061410899,1,0,0,1
0,1,0.160458918,0.560564722,0,0,1,0
1,1,0.70876327,0.936947406,0,1,0,0
0,1,0.586455738,0.347011099,0,1,1,1
0,1,0.137436053,0.916275647,0,0,0,1
0,1,0.377338984,0.80367607,1,0,0,1
0,1,0.294780068,0.042617229,1,0,0,1
0,1,0.408453733,0.819903878,0,0,0,1
0,1,0.865055411,0.19812684,0,0,1,1
0,1,0.986452889,0.48831657,0,1,0,1
0,1,0.565802467,0.099428756,0,0,0,1
0,1,0.199511999,0.045474236,1,0,1,0
0,1,0.911389087,0.492562355,1,1,1,0
0,1,0.68254857,0.602254312,1,0,1,0
0,1,0.279044216,0.166090965,0,0,1,0
0,1,0.666651334,0.809280751,0,1,0,1
0,1,0.461781611,0.216095307,0,0,0,0
0,1,0.224687534,0.281924318,0,0,1,0
0,1,0.855862925,0.113539461,0,0,1,1
0,1,0.892377352,0.342019818,0,0,1,0
0,1,0.480167364,0.783526899,0,1,0,1
0,1,0.231667497,0.410948923,0,1,0,0
0,1,0.768823308,0.825541973,1,0,1,0
0,1,0.6906055,0.49019554,0,1,1,1
0,1,0.103685456,0.226538759,1,0,1,0
0,1,0.374773148,0.355811873,0,1,1,1
0,1,0.447151187,0.64583114,0,0,0,1
0,1,0.377623693,0.038469628,1,1,1,0
0,1,0.734443838,0.732512023,1,0,0,1
0,1,0.658408274,0.14449898,0,1,1,1
0,1,0.006287453,0.782863738,0,0,1,0
0,1,0.963378548,0.740310638,1,1,1,0
0,1,0.568053751,0.701661223,1,0,1,0
0,1,0.180439752,0.301852127,1,0,0,1
0,1,0.598057923,0.548378506,0,0,0,1
0,1,0.030459935,0.169862459,0,0,1,1
0,1,0.20095512,0.691247551,0,1,0,1
