y,x0,x1,x2,x3
7.830197802,1,0.85548346,0.317660141,0.853063061
1.392115923,1,0.74672974,0.341746369,0.744109269
9.389772637,1,0.30615159,0.885525481,0.717531915
0.84622448,1,0.606400214,0.583870399,0.361064069
3.524538952,1,0.176118713,0.237377464,0.978307585
7.234500224,1,0.467027892,0.638097373,0.274291242
7.572624774,1,0.922512645,0.346830449,0.562273444
3.557528042,1,0.372631705,0.835679463,0.508555889
2.872580089,1,0.881909554,0.88123802,0.2426771
2.149074407,1,0.303308483,0.53842096,0.967398303
8.381042868,1,0.973877462,0.41343481,0.453478623
3.167100318,1,0.931112486,0.093163774,0.522443123
5.954686231,1,0.693019947,0.593310295,0.600570737
6.271926978,1,0.124609013,0.437514153,0.887534521
5.869497677,1,0.818743741,0.079708081,0.51404398
5.367811541,1,0.801266385,0.369267541,0.433151745
0.074826534,1,0.081444663,0.401424375,0.160348836
1.554467647,1,0.053294387,0.643963636,0.567120794
4.71153548,1,0.49873944,0.598418428,0.981679892
3.038843902,1,0.125280968,0.114521361,0.786491463
9.638996393,1,0.765343543,0.887325715,0.562408853
8.173727698,1,0.465176052,0.336025377,0.744853233
0.401953054,1,0.473297936,0.611216994,0.397012739
7.928251547,1,0.368686427,0.312825284,0.143494707
9.021035826,1,0.29986477,0.417333893,0.978599843
7.763112817,1,0.904299045,0.805261684,0.62287113
8.76537594,1,0.151244972,0.987593976,0.368227932
8.351585657,1,0.812764271,0.243848139,0.133162827
5.530323279,1,0.414017003,0.847492794,0.038769244
2.404051444,1,0.979199484,0.696568065,0.432661406
0.234966374,1,0.787458247,0.88688583,0.278594256
0.422257763,1,0.860853603,0.768290501,0.781358537
1.971169971,1,0.253511114,0.472640413,0.535759179
6.158204453,1,0.633940122,0.284342404,0.231136841
7.674081809,1,0.698392791,0.142439167,0.924940226
9.04519246,1,0.227171023,0.500445111,0.732507225
6.721780348,1,0.556606348,0.681895812,0.61018379
8.96168202,1,0.152733024,0.850489114,0.255027656
